CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,1,77183.6,3,High Value / VIP Customers
12347.0,1,182,4310.0,0,Low Value Customers
12348.0,74,31,1797.24,0,Low Value Customers
12349.0,18,73,1757.55,0,Low Value Customers
12350.0,309,17,334.4,1,Churn Risk Customers
12352.0,35,85,2506.04,0,Low Value Customers
12353.0,203,4,89.0,1,Churn Risk Customers
12354.0,231,58,1079.4,1,Churn Risk Customers
12355.0,213,13,459.4,1,Churn Risk Customers
12356.0,22,59,2811.43,0,Low Value Customers
12357.0,32,131,6207.67,0,Low Value Customers
12358.0,1,19,1168.06,0,Low Value Customers
12359.0,57,248,6372.58,0,Low Value Customers
12360.0,51,129,2662.06,0,Low Value Customers
12361.0,286,10,189.9,1,Churn Risk Customers
12362.0,2,266,5226.23,0,Low Value Customers
12363.0,109,23,552.0,0,Low Value Customers
12364.0,7,85,1313.1,0,Low Value Customers
12365.0,290,22,641.38,1,Churn Risk Customers
12367.0,3,11,168.9,0,Low Value Customers
12370.0,50,167,3545.69,0,Low Value Customers
12371.0,44,63,1887.96,0,Low Value Customers
12372.0,71,52,1298.04,0,Low Value Customers
12373.0,310,14,364.6,1,Churn Risk Customers
12374.0,24,33,742.9300000000001,0,Low Value Customers
12375.0,10,17,457.5,0,Low Value Customers
12377.0,314,77,1628.12,1,Churn Risk Customers
12378.0,129,219,4008.62,0,Low Value Customers
12379.0,81,40,852.24,0,Low Value Customers
12380.0,21,104,2724.81,0,Low Value Customers
12381.0,4,87,1845.31,0,Low Value Customers
12383.0,184,99,1850.56,1,Churn Risk Customers
12384.0,28,27,585.27,0,Low Value Customers
12386.0,337,10,401.9,1,Churn Risk Customers
12388.0,15,100,2780.66,0,Low Value Customers
12390.0,79,32,549.84,0,Low Value Customers
12391.0,21,100,460.89,0,Low Value Customers
12393.0,71,64,1582.6000000000001,0,Low Value Customers
12394.0,63,27,1272.48,0,Low Value Customers
12395.0,18,156,3018.63,0,Low Value Customers
12397.0,35,126,2409.9,0,Low Value Customers
12398.0,45,85,1635.6599999999999,0,Low Value Customers
12399.0,118,59,1108.65,0,Low Value Customers
12401.0,302,5,84.3,1,Churn Risk Customers
12402.0,322,11,225.6,1,Churn Risk Customers
12403.0,49,5,427.7,0,Low Value Customers
12405.0,148,54,1710.39,0,Low Value Customers
12406.0,21,105,3415.3,0,Low Value Customers
12407.0,49,77,1708.1200000000001,0,Low Value Customers
12408.0,32,105,2888.55,0,Low Value Customers
12409.0,78,109,11072.67,0,Low Value Customers
12410.0,308,26,693.3299999999999,1,Churn Risk Customers
12412.0,74,61,1226.88,0,Low Value Customers
12413.0,66,38,758.1,0,Low Value Customers
12414.0,216,18,562.41,1,Churn Risk Customers
12415.0,23,714,124914.53,3,High Value / VIP Customers
12417.0,2,192,3649.1,0,Low Value Customers
12418.0,112,34,668.58,0,Low Value Customers
12420.0,63,29,600.39,0,Low Value Customers
12421.0,15,45,807.04,0,Low Value Customers
12422.0,95,39,803.5600000000001,0,Low Value Customers
12423.0,0,125,1859.31,0,Low Value Customers
12424.0,162,30,1760.96,1,Churn Risk Customers
12425.0,77,36,777.2,0,Low Value Customers
12426.0,194,30,582.73,1,Churn Risk Customers
12427.0,21,31,825.8,0,Low Value Customers
12428.0,25,294,7956.46,0,Low Value Customers
12429.0,8,97,3750.4,0,Low Value Customers
12430.0,42,11,256.4,0,Low Value Customers
12431.0,35,235,6487.45,0,Low Value Customers
12432.0,42,108,5059.32,0,Low Value Customers
12433.0,0,420,13375.87,3,High Value / VIP Customers
12434.0,84,50,806.14,0,Low Value Customers
12435.0,79,36,7829.89,0,Low Value Customers
12436.0,99,16,509.01,0,Low Value Customers
12437.0,1,199,4951.41,0,Low Value Customers
12438.0,13,98,2906.85,0,Low Value Customers
12441.0,366,11,173.55,1,Churn Risk Customers
12442.0,2,12,172.06,0,Low Value Customers
12444.0,20,176,5005.46,0,Low Value Customers
12445.0,21,4,133.4,0,Low Value Customers
12446.0,57,57,1002.3100000000001,0,Low Value Customers
12447.0,242,26,476.49,1,Churn Risk Customers
12448.0,43,22,449.45,0,Low Value Customers
12449.0,21,191,4067.29,0,Low Value Customers
12450.0,155,8,197.88,0,Low Value Customers
12451.0,10,354,9035.52,0,Low Value Customers
12452.0,16,22,430.57,0,Low Value Customers
12453.0,133,43,707.09,0,Low Value Customers
12454.0,55,15,3528.34,0,Low Value Customers
12455.0,72,90,2466.86,0,Low Value Customers
12456.0,43,125,3181.04,0,Low Value Customers
12457.0,65,62,2363.23,0,Low Value Customers
12458.0,70,38,947.4,0,Low Value Customers
12461.0,93,35,826.88,0,Low Value Customers
12462.0,18,62,1189.59,0,Low Value Customers
12463.0,52,83,1344.78,0,Low Value Customers
12464.0,9,29,1212.05,0,Low Value Customers
12465.0,16,47,742.1899999999999,0,Low Value Customers
12468.0,187,38,729.5400000000001,1,Churn Risk Customers
12471.0,1,460,19824.05,3,High Value / VIP Customers
12472.0,31,339,6572.11,0,Low Value Customers
12473.0,28,168,3938.5499999999997,0,Low Value Customers
12474.0,16,424,7375.79,3,High Value / VIP Customers
12475.0,53,36,723.38,0,Low Value Customers
12476.0,15,233,6816.42,0,Low Value Customers
12477.0,22,300,13219.74,0,Low Value Customers
12478.0,3,36,680.99,0,Low Value Customers
12479.0,10,31,527.2,0,Low Value Customers
12480.0,27,154,3281.63,0,Low Value Customers
12481.0,22,217,5596.32,0,Low Value Customers
12483.0,16,75,2484.98,0,Low Value Customers
12484.0,32,346,4541.72,0,Low Value Customers
12488.0,9,55,1298.66,0,Low Value Customers
12489.0,335,15,334.93,1,Churn Risk Customers
12490.0,4,245,5417.93,0,Low Value Customers
12491.0,38,26,460.40000000000003,0,Low Value Customers
12492.0,62,20,263.21000000000004,0,Low Value Customers
12493.0,165,22,433.74,1,Churn Risk Customers
12494.0,15,77,1246.1000000000001,0,Low Value Customers
12497.0,81,14,1043.1,0,Low Value Customers
12498.0,20,23,403.70000000000005,0,Low Value Customers
12500.0,22,61,4257.82,0,Low Value Customers
12501.0,336,149,2169.39,1,Churn Risk Customers
12502.0,95,147,3723.87,0,Low Value Customers
12504.0,17,9,482.04999999999995,0,Low Value Customers
12506.0,232,23,73.5,1,Churn Risk Customers
12507.0,133,21,1304.81,0,Low Value Customers
12508.0,25,69,398.27,0,Low Value Customers
12509.0,283,7,176.5,1,Churn Risk Customers
12510.0,142,33,982.5699999999999,0,Low Value Customers
12512.0,65,34,138.03,0,Low Value Customers
12513.0,112,35,612.29,0,Low Value Customers
12514.0,266,51,1017.68,1,Churn Risk Customers
12515.0,352,16,383.7,1,Churn Risk Customers
12516.0,77,26,1312.06,0,Low Value Customers
12517.0,27,284,2502.84,0,Low Value Customers
12518.0,0,124,2056.89,0,Low Value Customers
12519.0,63,18,340.84,0,Low Value Customers
12520.0,78,152,2634.26,0,Low Value Customers
12521.0,142,38,599.68,0,Low Value Customers
12522.0,38,12,192.72,0,Low Value Customers
12523.0,18,106,1789.77,0,Low Value Customers
12524.0,8,144,4485.72,0,Low Value Customers
12526.0,0,71,1316.66,0,Low Value Customers
12527.0,81,18,348.71000000000004,0,Low Value Customers
12528.0,8,92,1933.48,0,Low Value Customers
12530.0,59,66,1662.28,0,Low Value Customers
12531.0,14,17,125.22,0,Low Value Customers
12532.0,29,16,349.83000000000004,0,Low Value Customers
12534.0,130,63,1089.18,0,Low Value Customers
12535.0,91,34,716.35,0,Low Value Customers
12536.0,42,261,12601.830000000002,0,Low Value Customers
12538.0,28,21,363.95,0,Low Value Customers
12539.0,21,273,5568.35,0,Low Value Customers
12540.0,19,478,13400.24,3,High Value / VIP Customers
12541.0,29,52,981.18,0,Low Value Customers
